%time,field.header.seq,field.header.stamp,field.header.frame_id,field.d,field.d_ref,field.sigma_d,field.phi,field.phi_ref,field.sigma_phi,field.curvature,field.curvature_ref,field.v_ref,field.status,field.in_lane
1571197786272385500,25615,1571197786076823949,,-0.10000000149,0.0,0.0,0.34999999404,0.0,0.0,0.0,0.0,0.0,0,1
1571197786350188625,25616,1571197786150026082,,0.0799999982119,0.0,0.0,-1.14999997616,0.0,0.0,0.0,0.0,0.0,0,1
1571197786451284562,25617,1571197786195530891,,0.0799999982119,0.0,0.0,-1.14999997616,0.0,0.0,0.0,0.0,0.0,0,1
1571197786500867375,25618,1571197786285389900,,0.0599999986589,0.0,0.0,-1.04999995232,0.0,0.0,0.0,0.0,0.0,0,1
1571197786558330916,25619,1571197786362165927,,0.0399999991059,0.0,0.0,-1.04999995232,0.0,0.0,0.0,0.0,0.0,0,1
1571197786722644770,25620,1571197786463887929,,0.0399999991059,0.0,0.0,-1.04999995232,0.0,0.0,0.0,0.0,0.0,0,1
1571197786769779406,25621,1571197786556891918,,0.0399999991059,0.0,0.0,-1.14999997616,0.0,0.0,0.0,0.0,0.0,0,1
1571197786872469875,25622,1571197786597642898,,0.0399999991059,0.0,0.0,-1.14999997616,0.0,0.0,0.0,0.0,0.0,0,1
1571197786956040343,25623,1571197786733087062,,0.0,0.0,0.0,-0.75,0.0,0.0,0.0,0.0,0.0,0,1
1571197787029189770,25624,1571197786829709053,,0.0,0.0,0.0,-0.75,0.0,0.0,0.0,0.0,0.0,0,1
1571197787120859770,25625,1571197786862869977,,0.0399999991059,0.0,0.0,-0.850000023842,0.0,0.0,0.0,0.0,0.0,0,1
1571197787178994874,25626,1571197786958854913,,0.019999999553,0.0,0.0,-0.649999976158,0.0,0.0,0.0,0.0,0.0,0,1
1571197787278080916,25627,1571197787020654916,,0.019999999553,0.0,0.0,-0.449999988079,0.0,0.0,0.0,0.0,0.0,0,1
1571197787323116593,25628,1571197787103965997,,0.0599999986589,0.0,0.0,-0.649999976158,0.0,0.0,0.0,0.0,0.0,0,1
1571197787420726906,25629,1571197787194859027,,-0.0399999991059,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0,1
1571197787555522531,25630,1571197787294830083,,0.019999999553,0.0,0.0,-0.25,0.0,0.0,0.0,0.0,0.0,0,1
1571197787618890551,25631,1571197787361365079,,-0.019999999553,0.0,0.0,0.0500000007451,0.0,0.0,0.0,0.0,0.0,0,1
1571197787730315239,25632,1571197787434624910,,-0.019999999553,0.0,0.0,0.0500000007451,0.0,0.0,0.0,0.0,0.0,0,1
1571197787807437166,25633,1571197787503706932,,0.0,0.0,0.0,0.15000000596,0.0,0.0,0.0,0.0,0.0,0,1
1571197787884651697,25634,1571197787601901054,,0.0,0.0,0.0,0.15000000596,0.0,0.0,0.0,0.0,0.0,0,1
1571197788044035916,25635,1571197787711744070,,0.0,0.0,0.0,0.15000000596,0.0,0.0,0.0,0.0,0.0,0,1
1571197788087736801,25636,1571197787833849906,,0.0,0.0,0.0,0.15000000596,0.0,0.0,0.0,0.0,0.0,0,1
1571197788173468989,25637,1571197787899266958,,0.0,0.0,0.0,0.15000000596,0.0,0.0,0.0,0.0,0.0,0,1
1571197788253037166,25638,1571197787988306999,,0.0,0.0,0.0,0.15000000596,0.0,0.0,0.0,0.0,0.0,0,1
1571197788294474197,25639,1571197788096635103,,0.0,0.0,0.0,0.15000000596,0.0,0.0,0.0,0.0,0.0,0,1
1571197788963398415,25640,1571197788759526968,,0.0,0.0,0.0,0.15000000596,0.0,0.0,0.0,0.0,0.0,0,1
1571197789037366853,25641,1571197788800602912,,0.0,0.0,0.0,0.0500000007451,0.0,0.0,0.0,0.0,0.0,0,1
1571197789147815186,25642,1571197788866347074,,0.019999999553,0.0,0.0,-0.0500000007451,0.0,0.0,0.0,0.0,0.0,0,1
1571197789196652478,25643,1571197788929497003,,0.019999999553,0.0,0.0,-0.0500000007451,0.0,0.0,0.0,0.0,0.0,0,1
1571197789330084353,25644,1571197789028733015,,-0.019999999553,0.0,0.0,-0.25,0.0,0.0,0.0,0.0,0.0,0,1
1571197789394080655,25645,1571197789169874906,,0.0399999991059,0.0,0.0,-0.25,0.0,0.0,0.0,0.0,0.0,0,1
1571197789489552842,25646,1571197789262260913,,-0.10000000149,0.0,0.0,0.649999976158,0.0,0.0,0.0,0.0,0.0,0,0
1571197789589209196,25647,1571197789360915899,,0.0,0.0,0.0,-0.25,0.0,0.0,0.0,0.0,0.0,0,1
1571197789737346696,25648,1571197789461576938,,0.0,0.0,0.0,-0.25,0.0,0.0,0.0,0.0,0.0,0,1
1571197789773719353,25649,1571197789527690887,,0.019999999553,0.0,0.0,-0.34999999404,0.0,0.0,0.0,0.0,0.0,0,1
1571197789903791905,25650,1571197789600167989,,0.019999999553,0.0,0.0,-0.449999988079,0.0,0.0,0.0,0.0,0.0,0,1
1571197789986198207,25651,1571197789701735973,,0.019999999553,0.0,0.0,-0.449999988079,0.0,0.0,0.0,0.0,0.0,0,1
1571197790053344405,25652,1571197789794509887,,0.019999999553,0.0,0.0,-0.449999988079,0.0,0.0,0.0,0.0,0.0,0,1
1571197790127301748,25653,1571197789860573053,,0.019999999553,0.0,0.0,-0.449999988079,0.0,0.0,0.0,0.0,0.0,0,1
1571197790196488675,25654,1571197789929510116,,0.019999999553,0.0,0.0,-0.449999988079,0.0,0.0,0.0,0.0,0.0,0,1
1571197790275653988,25655,1571197790027791976,,-0.019999999553,0.0,0.0,-0.15000000596,0.0,0.0,0.0,0.0,0.0,0,1
1571197790347787738,25656,1571197790060408115,,-0.019999999553,0.0,0.0,-0.15000000596,0.0,0.0,0.0,0.0,0.0,0,1
1571197790437812946,25657,1571197790195694923,,-0.019999999553,0.0,0.0,-0.15000000596,0.0,0.0,0.0,0.0,0.0,0,1
1571197790511153207,25658,1571197790262156963,,-0.019999999553,0.0,0.0,-0.15000000596,0.0,0.0,0.0,0.0,0.0,0,1
1571197790586425759,25659,1571197790327303886,,-0.019999999553,0.0,0.0,-0.15000000596,0.0,0.0,0.0,0.0,0.0,0,1
1571197790754489977,25660,1571197790395026922,,-0.0399999991059,0.0,0.0,0.0500000007451,0.0,0.0,0.0,0.0,0.0,0,1
1571197790832543623,25661,1571197790526271104,,-0.0399999991059,0.0,0.0,0.0500000007451,0.0,0.0,0.0,0.0,0.0,0,1
1571197790901859196,25662,1571197790596136093,,-0.0399999991059,0.0,0.0,0.0500000007451,0.0,0.0,0.0,0.0,0.0,0,1
1571197790973628206,25663,1571197790694451093,,-0.019999999553,0.0,0.0,-0.25,0.0,0.0,0.0,0.0,0.0,0,1
1571197791011246019,25664,1571197790762263059,,-0.019999999553,0.0,0.0,-0.25,0.0,0.0,0.0,0.0,0.0,0,1
1571197791116896071,25665,1571197790862572908,,-0.019999999553,0.0,0.0,-0.25,0.0,0.0,0.0,0.0,0.0,0,1
1571197791253575342,25666,1571197790931492090,,-0.019999999553,0.0,0.0,-0.25,0.0,0.0,0.0,0.0,0.0,0,1
1571197791329812737,25667,1571197791027384042,,-0.0599999986589,0.0,0.0,0.34999999404,0.0,0.0,0.0,0.0,0.0,0,1
